date,symbol,company_name,market_cap,market_cap_text,source_url
1985-01-31,PG,Procter & Gamble,9324000000.0,$9.324B,https://www.finhacker.cz/en/stocks/procter-gamble-market-cap/
1985-01-31,SLB,Schlumberger,12030000000.0,$12.03B,https://www.finhacker.cz/en/stocks/schlumberger-market-cap/
1985-01-31,T,AT&T,5433000000.0,$5.433B,https://www.finhacker.cz/en/stocks/att-market-cap/
1985-01-31,UNH,UnitedHealth Group,61174000.0,$61.174M,https://www.finhacker.cz/en/stocks/unitedhealth-group-market-cap/
1985-01-31,VZ,Verizon Communications,8193000000.0,$8.193B,https://www.finhacker.cz/en/stocks/verizon-communications-market-cap/
1985-01-31,WFC,Wells Fargo,762000000.0,$0.762B,https://www.finhacker.cz/en/stocks/wells-fargo-market-cap/
1985-01-31,WMT,Walmart,6379000000.0,$6.379B,https://www.finhacker.cz/en/stocks/walmart-market-cap/
1985-01-31,XOM,Exxon Mobil,37584000000.0,$37.584B,https://www.finhacker.cz/en/stocks/exxon-mobil-market-cap/
1985-02-28,AAPL,Apple,1503000000.0,$1.503B,https://www.finhacker.cz/en/stocks/apple-market-cap/
1985-02-28,AIG,AIG,4383000000.0,$4.383B,https://www.finhacker.cz/en/stocks/american-international-group-market-cap/
1985-02-28,AMD,Advanced Micro Devices,1838000000.0,$1.838B,https://www.finhacker.cz/en/stocks/advanced-micro-devices-market-cap/
1985-02-28,AMGN,Amgen,59349000.0,$59.349M,https://www.finhacker.cz/en/stocks/amgen-market-cap/
1985-02-28,BA,Boeing,6359000000.0,$6.359B,https://www.finhacker.cz/en/stocks/boeing-market-cap/
1985-02-28,DIS,Walt Disney,2630000000.0,$2.63B,https://www.finhacker.cz/en/stocks/walt-disney-market-cap/
1985-02-28,FNMA,Fannie Mae,1096000000.0,$1.096B,https://www.finhacker.cz/en/stocks/fannie-mae-market-cap/
1985-02-28,GE,General Electric,17331000000.0,$17.331B,https://www.finhacker.cz/en/stocks/ge-aerospace-market-cap/
1985-02-28,HD,Home Depot,475000000.0,$0.475B,https://www.finhacker.cz/en/stocks/home-depot-market-cap/
1985-02-28,IBM,IBM,78427000000.0,$78.427B,https://www.finhacker.cz/en/stocks/international-business-machines-market-cap/
1985-02-28,INTC,Intel,3126000000.0,$3.126B,https://www.finhacker.cz/en/stocks/intel-market-cap/
1985-02-28,JNJ,Johnson & Johnson,7169000000.0,$7.169B,https://www.finhacker.cz/en/stocks/johnson-johnson-market-cap/
1985-02-28,JPM,JPMorgan Chase,1865000000.0,$1.865B,https://www.finhacker.cz/en/stocks/jpmorgan-chase-market-cap/
1985-02-28,K-202512,Kellogg Company,2758000000.0,$2.758B,https://www.finhacker.cz/en/stocks/kellanova-market-cap/
1985-02-28,KO,Coca-Cola,8316000000.000001,$8.316B,https://www.finhacker.cz/en/stocks/coca-cola-market-cap/
