strategy,layer,policy,cagr,volatility,sharpe,max_drawdown,total_return,worst_day,final_nav,mean_exposure,mean_positions,negative_cash_days,mean_borrowed_weight,min_cash_weight,orders,fills,fill_rate,closed_trades,open_trades,native_forced_liquidations,closed_trade_net_pnl,terminal_trade_net_pnl,terminal_mark_value,mean_trade_return,median_trade_return,win_rate,worst_trade,mean_loss,trade_cvar5,mean_duration,daily_correlation,monthly_correlation,beta,annual_turnover,commission_total,cash_friction_total,dividend_total,dividend_events_independently_verified,cash_error_max,trade_nav_error,daily_mark_error,zero_volume_selected,zero_volume_filled
dv2,central,moo,0.1948686989009163,0.2031335766229667,0.9783942776890368,-0.30867801440371556,18.411365517848996,-0.10828248423859577,1941136.5517849014,0.8615457191526461,8.755359695092901,117,0.00012291613345441298,-0.018885621660130927,8067,8067,1.0,8057,10,1,1857017.7570427943,-15881.205257893103,1900023.7969551086,0.004036284601712429,0.009478553158604545,0.6502420255678292,-0.4813026033806369,-0.03628099905305649,-0.11786892749023609,5.555914111952339,0.7315706525723774,0.6335456400319697,0.8649152809623721,100.47050906806847,76549.85,0.0,75960.39085497282,424,1.4288161764852703e-09,2.3283064365386963e-10,0.0,0,0
dv2,central,limit_0.5pct,0.18226290487692354,0.19648272861786745,0.9506444341804022,-0.2837176716894154,15.26761770638213,-0.10185024437012213,1626761.7706382151,0.7785254627228488,7.9464030490709865,28,4.863808213664555e-05,-0.019178921110340065,9566,6966,0.7282040560317792,6957,9,0,1509254.0728734264,17507.697764787485,1424008.624572754,0.004393523576735253,0.010666253184034958,0.6485554118154377,-0.478815757820585,-0.03818895082606235,-0.12003214064568922,5.7895644674428635,0.7173598053490028,0.609478896096471,0.8203458761254242,87.85027926246076,57184.125,79294.13779189052,53923.69672207162,356,1.0040821507573128e-09,9.313225746154785e-10,0.0,0,0
dv2,central,limit_1pct,0.19349641319233335,0.18613298746480372,1.0436778969000355,-0.27127115162669035,18.04330301683104,-0.09149431810181596,1904330.3016831086,0.6730429192475483,6.904716531681753,5,5.139007856645198e-06,-0.014682977066080766,11684,5809,0.49717562478603217,5801,8,0,1782665.237812407,21665.06387070023,1480736.5173950195,0.0055011226172454845,0.012117615033335426,0.6416135149112222,-0.47618225154695165,-0.03884865835144755,-0.12260768329931919,5.992415100844682,0.6932475242365101,0.5786442123216552,0.7510126543755395,75.6837014463586,50260.57000000001,69029.78811670213,47135.20242415345,317,1.9208528101444244e-09,1.1641532182693481e-09,0.0,0,0
dv2,central,limit_2pct,0.16052744105536143,0.16929051316086446,0.9641685912405074,-0.21845756417555318,10.942000754794295,-0.09836506623046204,1194200.0754794287,0.45015536977115067,4.669128156264888,1,1.0761461045957847e-06,-0.004517661347093104,16973,3767,0.221940729393743,3760,7,0,1083255.5796715282,10944.495807899422,805347.3527526855,0.007151667648560292,0.014477426905472768,0.6468085106382979,-0.4708346214606961,-0.043737060641170236,-0.13572502738061526,6.207446808510638,0.6364456701226183,0.507109530860945,0.6270895120151121,49.0995511936583,29783.875,35728.802281662036,22302.13485776307,212,1.3969838619232178e-09,9.313225746154785e-10,0.0,0,0
dv2,stress,moo,0.08370338458692705,0.20320377402348994,0.4973477478588221,-0.37793224752288823,2.815605172329882,-0.1085447927271721,381560.5172329896,0.861392457820556,8.755359695092901,118,0.0001297104598668278,-0.018473926330682896,8067,8067,1.0,8057,10,1,285041.41824336373,-3480.901010374014,372500.4033088684,0.0020151177409795354,0.007438541640610681,0.6235571552687105,-0.48282174472016987,-0.03561649810305581,-0.11976593349169344,5.555914111952339,0.7314461476216341,0.6353105393275607,0.8650669224466719,98.62001302848236,35131.635,291539.816978712,26697.695177654503,424,6.402842700481415e-10,5.820766091346741e-11,0.0,0,0
dv2,stress,limit_0.5pct,0.06432468340240716,0.19607298834658335,0.41604721989327625,-0.39064426474208447,1.8250146013306492,-0.10154619046400937,282501.46013306524,0.7676937105521309,7.846831824678418,29,3.317290084129564e-05,-0.017730782699435465,9755,6850,0.7022039979497694,6841,9,0,179668.03631957254,2833.423813492486,245020.88248443604,0.001884610136390118,0.008157650009516074,0.6175997661160649,-0.4803376383480903,-0.037672549532539915,-0.1228566713483813,5.809676947814647,0.7165347592794278,0.6126945656234426,0.8176936225915263,83.77119021450987,26268.920000000002,216593.96911904187,17363.50130711618,351,4.765752237290144e-10,2.0372681319713593e-10,0.0,0,0
dv2,stress,limit_1pct,0.08718192372608558,0.1864655964755372,0.5416016530116438,-0.3482318504827373,3.024842917465074,-0.09161350493218634,402484.29174650897,0.6632779794223772,6.8080038113387324,10,1.2211304574969973e-05,-0.015343988398583136,11911,5696,0.47821341616992696,5688,8,0,299885.39387871977,2598.897867789081,311221.841506958,0.0028449211385576847,0.009772180279908721,0.6193741209563994,-0.47770676783469673,-0.039446397769565926,-0.12723823273978613,6.019163150492265,0.6957410745015602,0.596090529185702,0.7550608245315336,71.01514603696204,24831.285000000003,218357.0562462569,18152.82736641832,311,7.421476766467094e-10,1.1641532182693481e-10,0.0,0,0
dv2,stress,limit_2pct,0.10175142548761529,0.17008778957115028,0.6547480921032214,-0.2843691855667623,4.024116343690981,-0.09888745189305614,502411.6343690988,0.4409100922304051,4.575273939971415,1,8.338967012950781e-07,-0.003500698352036738,17223,3687,0.21407420310050515,3680,7,0,398179.1633618264,4232.471007271763,338630.2611541748,0.004904413310673831,0.012267775535265184,0.6241847826086957,-0.4723644899554591,-0.04371643989273073,-0.1402378402474675,6.213586956521739,0.6338484280667946,0.5169461478968468,0.6274716873395884,46.25287681754543,20300.9,180670.87611637998,12603.9479991775,203,7.8580342233181e-10,6.402842700481415e-10,0.0,0,0
hpi235,central,moo,0.1603436162486338,0.15417524434414737,1.0419080550342121,-0.17713033341610018,10.91052840400989,-0.07886573479514747,1191052.8404009852,0.7188396819894126,7.290376369699857,103,0.00011289494517226662,-0.020858407942918215,4719,4714,0.998940453485908,4704,10,0,1138576.6887640648,-47523.84836307923,1144142.6657028198,0.005675687185235385,0.009930438135790018,0.6475340136054422,-0.48130260338063696,-0.03521161608361879,-0.11293656560559781,7.484481292517007,0.7054250988539108,0.5594989713454303,0.6329962435235011,59.74516606914537,29788.67,0.0,60241.10620594828,390,6.402842700481415e-10,4.656612873077393e-10,0.0,0,0
hpi235,central,limit_0.5pct,0.18282929701852124,0.14683954135337374,1.217146125272266,-0.1702116366480273,15.397934005672017,-0.07859510901043687,1639793.4005671963,0.6310099228582015,6.432110528823249,13,1.4975664728558389e-05,-0.014969485197354526,5755,4075,0.7080799304952216,4066,9,0,1650877.8985852157,-111084.49801801734,1392571.3972320557,0.00743429881063778,0.01145006386525896,0.6591244466305952,-0.4788157578205849,-0.03680216473703566,-0.1146650300776518,7.620265617314314,0.6951798158827497,0.4953823045941828,0.5941221624899535,52.43740251611937,32467.66,56103.98999150798,68699.03211281472,326,3.3760443329811096e-09,1.862645149230957e-09,0.0,0,0
