strategy,opportunities,overnight_price_return,open_to_exit_price_return,close_to_exit_price_return
dv2,8067,0.0004291991669751719,0.004357980513462846,0.004778143892346913
hpi235,4714,0.0009903125141283186,0.005708925659255503,0.006686842481630608
sector,943,0.00032180567770702736,0.009214354956958415,0.009507564717688446
