date,dv2/central/moo,dv2/central/limit_0.5pct,dv2/central/limit_1pct,dv2/central/limit_2pct,dv2/stress/moo,dv2/stress/limit_0.5pct,dv2/stress/limit_1pct,dv2/stress/limit_2pct,hpi235/central/moo,hpi235/central/limit_0.5pct,hpi235/central/limit_1pct,hpi235/central/limit_2pct,hpi235/stress/moo,hpi235/stress/limit_0.5pct,hpi235/stress/limit_1pct,hpi235/stress/limit_2pct,sector/central/moo,sector/central/limit_0.5pct,sector/central/limit_1pct,sector/central/limit_2pct,sector/stress/moo,sector/stress/limit_0.5pct,sector/stress/limit_1pct,sector/stress/limit_2pct
2010-01-05,3.9684813138096686e-05,-0.00020299775967347333,0.0037888174205626957,0.002690120678520147,-0.0009601333871159801,-0.000997170437371131,0.0029986355603410786,0.0012610203233263118,0.0019506034521103999,-0.001043437198023578,-4.265588770857587e-05,0.001362462041100354,0.0016496720025473977,-0.0012425429023502632,-0.00024076106085757498,0.0012642858036460147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,-0.0032956357787174984,-0.001355875288374886,-0.0008512968528825438,-9.199561038208959e-05,-0.0035042836851969517,-0.0014560046835560003,-0.0009505136172955897,0.0003061396684378437,-0.0014071446832542023,0.0003488757133678355,0.0008433363057711585,-0.000596877359529846,-0.001603184501645094,0.00025038446533498515,0.0007455361619961298,-0.0005969358847106587,0.001338121565051198,0.0,0.0,0.0,0.00120172383777839,0.0,0.0,0.0
2010-01-07,0.002325112706872634,0.004949212558308158,0.005439909057781245,0.0025532902367846333,0.0021270875641623554,0.004752176136206376,0.005243472664322013,0.0010344157314396973,0.003361221765439293,-0.00045227540189607396,0.0010443114379563578,0.0013603675581848051,0.0030565834586990803,-0.0007505561699769903,0.0007484164852664676,0.0013605010249848615,-0.0005782616233396265,0.0,0.0,0.0,-0.0007153763864241602,0.0,0.0,0.0
2010-01-08,0.009218873919984105,0.005584696586879101,0.006571994477434284,0.0026576560298086083,0.008826368949231833,0.005086811059511698,0.006077292033291437,0.003296889144238868,0.00493359799938764,0.005448848879610058,0.006921752980112217,0.0068624403459447425,0.004532058401723216,0.005157481857535506,0.006632919548709149,0.006670372047769657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,0.004782019425927819,0.004927168694054407,0.004815934469244887,0.0038634052841224342,0.004084931078605747,0.004333285729852365,0.004421931990559402,0.0037718728365268017,0.00841713615967965,0.00871754288115123,0.00868460362018042,0.002700251095392625,0.008223793414433578,0.008623528878100917,0.008590614381014383,0.0025994923138474846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,-0.017982315508293545,-0.015291339927556602,-0.012718550945609475,-0.009787563961818235,-0.01889718034003529,-0.01600344829494027,-0.01342061835102104,-0.010095615200295116,-0.005828036790724744,-0.006772938808824236,-0.0057485597143696054,-0.0028062533726700423,-0.006434674730650847,-0.007272747737205765,-0.007807197135489274,-0.002907527119435538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-13,0.008521500847025854,0.00805468866215242,0.009180664592790988,0.015417460966923091,0.008530307202529341,0.00806153216128469,0.009087367660451484,0.01514501997845219,0.005531707918237094,0.006697908750777248,0.00586221621204186,0.0020796837599279527,0.005340310274670745,0.006409143735555789,0.005292243157146492,0.001981698019381417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-14,-0.001497120691649867,-0.002503143830844934,-0.0007306138377365379,0.0009303824890629642,-0.0017045738171435065,-0.002606559136544062,-0.0007400558919700151,0.0009312517611108628,-0.001882579709586829,-0.0013484050411560755,-0.0014891228884333918,0.0010713058207958426,-0.0020853122474833174,-0.0015498189953480068,-0.00020469127618338856,0.001071003964835393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,-0.01369180228724498,-0.004040279042649808,-0.005323382212764294,-0.013023800646749462,-0.014115307320947679,-0.004454368204479864,-0.005743715374707303,-0.013350421102476084,-0.009436974374187668,-0.0036060532868105177,-0.0044652314338702315,-4.316184694530545e-05,-0.009643411769059695,-0.003807850548623093,-0.0038534965919075903,-4.0858238866792185e-05,-0.0019996421249128815,-0.0013164323528920274,-0.0006332225808713954,0.0007331969631700908,-0.0021362840793172078,-0.0014523571163332916,-0.0007684643053003093,0.0
2010-01-19,0.026850238746700228,0.01809634329276566,0.016164279786027747,0.019500782668844252,0.026906794369225828,0.018131975818563184,0.016193541191795502,0.01954062291394343,0.01906369639436556,0.010665780455162865,0.009069980235028918,0.0009557931048596036,0.01866858038194974,0.010480104664563061,0.007437258823222104,0.0008551027789491794,0.0013455715570354077,0.0013446510375969556,0.001343731776771273,0.0013418970206473535,0.0013457558121838797,0.0013448340748065668,0.001343913645133421,0.0
