strategy,layer,policy,period,cagr,volatility,sharpe,max_drawdown,total_return,worst_day
dv2,central,moo,2010-2014,0.14873525781282804,0.1886010399154318,0.829833396323929,-0.19047684866555048,0.9970220060790622,-0.07584687090006648
dv2,central,moo,2015-2019,0.12685385452261322,0.16721426502660264,0.7981101912078707,-0.16067163113925853,0.8152077008467824,-0.04958720230786684
dv2,central,moo,2020-2022,0.3492240094779071,0.26163557371290946,1.2762789023944274,-0.30867801440371545,1.4561347101064115,-0.10828248423859577
dv2,central,moo,2023-2026,0.23599861632763108,0.21192116617482157,1.1059766003407514,-0.1446152984889627,1.18019193597071,-0.0564067617896844
dv2,central,limit_0.5pct,2010-2014,0.10788581493048643,0.18112776212035764,0.6564972860319879,-0.18746797795258463,0.6670372593061995,-0.08592180546361416
dv2,central,limit_0.5pct,2015-2019,0.11981383258325562,0.16074945422920012,0.7845933029290317,-0.19542321646551897,0.7592967199022413,-0.05193183109614574
dv2,central,limit_0.5pct,2020-2022,0.35699758638724677,0.24842863713621563,1.353583338605706,-0.27575115451264876,1.4988329593893428,-0.10185024437012213
dv2,central,limit_0.5pct,2023-2026,0.24205389163940105,0.21201784782916147,1.128381275035377,-0.15738124950738352,1.2197411467902923,-0.054929605898033085
dv2,central,limit_1pct,2010-2014,0.10190950245886277,0.17194501897440542,0.6505860703364864,-0.1734418381822168,0.6226613958314784,-0.07741675747311627
dv2,central,limit_1pct,2015-2019,0.1380803015166161,0.14509355086402895,0.9643120584826572,-0.19406108290085122,0.9072987113506825,-0.04994201804580922
dv2,central,limit_1pct,2020-2022,0.300020717035407,0.24153357279288262,1.2075252406769206,-0.24494395987868212,1.197105037043385,-0.09149431810181596
dv2,central,limit_1pct,2023-2026,0.3230648182005378,0.20163168404107465,1.4894355691056917,-0.13142097520058071,1.8005597238299509,-0.05405083964901025
dv2,central,limit_2pct,2010-2014,0.10522132326958222,0.15652894925383207,0.7176928500748091,-0.20404153188907503,0.6471343463206245,-0.08394033716318816
dv2,central,limit_2pct,2015-2019,0.11534992556649226,0.12262657030853955,0.951777206362818,-0.19753423166598627,0.7245644694340538,-0.05870276548915432
dv2,central,limit_2pct,2020-2022,0.25279071964450006,0.22000661451778028,1.134778017135171,-0.2184575641755533,0.9662357255035459,-0.09836506623046204
dv2,central,limit_2pct,2023-2026,0.2294693979607687,0.19162595578348462,1.173395213344734,-0.12196209664420987,1.138124815404351,-0.05752615984372289
dv2,stress,moo,2010-2014,0.04535292647831812,0.18882365420672442,0.3294741250254937,-0.22302048207779024,0.2476287565636086,-0.07599972282122192
dv2,stress,moo,2015-2019,0.02335488038960798,0.16754657457074446,0.22170238739119158,-0.19287740031837342,0.12215216517901051,-0.04989182716131735
dv2,stress,moo,2020-2022,0.22360671458012082,0.261489081249593,0.9027734760181408,-0.3228323846330674,0.8320003595683343,-0.1085447927271721
dv2,stress,moo,2023-2026,0.1140210746661603,0.2117583253314179,0.6157242012738496,-0.1678543655782585,0.4876499303243178,-0.05688281308470666
dv2,stress,limit_0.5pct,2010-2014,0.0011955369272893535,0.1816908933467359,0.09764650534268893,-0.26070794440387457,0.0059776856097120135,-0.08619937554093848
dv2,stress,limit_0.5pct,2015-2019,0.016348228334713166,0.15976329227319333,0.18151830070662398,-0.25009564874075674,0.08431827939028258,-0.052147731784413454
dv2,stress,limit_0.5pct,2020-2022,0.18627163323284646,0.24861132202870626,0.8114485631281364,-0.2862810623093276,0.6693693532020628,-0.10154619046400937
dv2,stress,limit_0.5pct,2023-2026,0.12680058956779972,0.21054818945337295,0.6719992264812686,-0.17294779543323957,0.5513976668593117,-0.055230138055888056
dv2,stress,limit_1pct,2010-2014,0.009351616094697368,0.17451446513714863,0.14079263761949293,-0.25226286727361,0.04752474011365204,-0.08477603741892925
dv2,stress,limit_1pct,2015-2019,0.05120815157889824,0.1449348490630569,0.41718663076829493,-0.21550883813789057,0.28313238741546143,-0.05023822788823784
dv2,stress,limit_1pct,2020-2022,0.1829011494071513,0.24049946956424234,0.8188590487647193,-0.2679508371168732,0.6551805007258678,-0.09161350493218634
dv2,stress,limit_1pct,2023-2026,0.17487388785167823,0.201272437479135,0.901082660213707,-0.1550465210596269,0.8091218462147696,-0.0543143076457997
dv2,stress,limit_2pct,2010-2014,0.05993086435758843,0.15636792987630146,0.4506016264390396,-0.20615347485202706,0.3368625893294235,-0.08402919810720733
dv2,stress,limit_2pct,2015-2019,0.06681084861424158,0.12246066142624816,0.5894323764056103,-0.223822567482319,0.3810652610716083,-0.058866477573981446
dv2,stress,limit_2pct,2020-2022,0.17280085259299827,0.2205437585229029,0.8331596543736913,-0.23428135319636179,0.6131428184768446,-0.09888745189305614
dv2,stress,limit_2pct,2023-2026,0.15274192482135196,0.19467493637211974,0.8268818831591251,-0.1286472549900488,0.6868866346818983,-0.0578991834626198
hpi235,central,moo,2010-2014,0.11448185895543084,0.13690511433739572,0.8602810210075511,-0.1464953170040073,0.7171357304905148,-0.05228034398232517
hpi235,central,moo,2015-2019,0.08789599996079733,0.13820167759555285,0.6787763267600657,-0.1658616760847369,0.5228128173413702,-0.04461175848021792
hpi235,central,moo,2020-2022,0.38694670915711304,0.19495730377761109,1.7762792115693906,-0.17713033341610018,1.6679600570021411,-0.07886573479514747
hpi235,central,moo,2023-2026,0.1565107287482268,0.1589040766741037,0.9945003432872922,-0.17368804532109883,0.7072635060111805,-0.05410567047427439
hpi235,central,limit_0.5pct,2010-2014,0.12134280744473469,0.12893346755997667,0.952833241838829,-0.12645830668460434,0.77051611836701,-0.05383492392955924
hpi235,central,limit_0.5pct,2015-2019,0.1597516943949473,0.13554283300721337,1.1613095220236413,-0.13343792593602732,1.095628253461573,-0.04443976919523962
hpi235,central,limit_0.5pct,2020-2022,0.3726253044870622,0.1845525594923302,1.8094089375179838,-0.1702116366480272,1.586163647108688,-0.07859510901043687
hpi235,central,limit_0.5pct,2023-2026,0.15681368579636268,0.14956819299231025,1.048636188741835,-0.15505491351104927,0.7089092546589519,-0.04751996302852879
hpi235,central,limit_1pct,2010-2014,0.1474651278493322,0.11726882793405348,1.231851236133262,-0.12507354387690361,0.9860322443428946,-0.05377208968710934
hpi235,central,limit_1pct,2015-2019,0.12550613585422732,0.1236962419747041,1.0177390384119833,-0.13242965004453988,0.8043958187185987,-0.04354383839041964
hpi235,central,limit_1pct,2020-2022,0.3331308918925351,0.1779495622351975,1.7055043792371123,-0.1731207684970334,1.3692908466079645,-0.07834431920268736
hpi235,central,limit_1pct,2023-2026,0.12146936155436361,0.14484266796371523,0.8636526629018487,-0.13992562486730042,0.5245671427251408,-0.043590800757071224
hpi235,central,limit_2pct,2010-2014,0.09884449087887925,0.09899206352574044,1.0017761695611986,-0.12784230367097016,0.6002721224346457,-0.06327862049924382
hpi235,central,limit_2pct,2015-2019,0.07568415901295045,0.0924862870446931,0.8350931945762726,-0.13053379575337276,0.4393698415405414,-0.035812180982281006
hpi235,central,limit_2pct,2020-2022,0.21504928574562965,0.15542495248662258,1.331313307927329,-0.13766096712005305,0.7938316544036597,-0.0743609510599117
hpi235,central,limit_2pct,2023-2026,0.13833711242387947,0.1407098521972389,0.9909041286269876,-0.12354718924156327,0.6106326806367541,-0.052374311234210325
hpi235,stress,moo,2010-2014,0.06129559835221987,0.137220040522237,0.502157898731673,-0.1483482775702024,0.3454706836307968,-0.05232152194482209
hpi235,stress,moo,2015-2019,0.02640763199444285,0.13843485182968948,0.25751381674774876,-0.19813298105538424,0.13896275600700925,-0.044612930344313795
hpi235,stress,moo,2020-2022,0.3024664459150095,0.19485733671316474,1.4542126182463793,-0.18631731895152892,1.2095286208796274,-0.07935486611188425
hpi235,stress,moo,2023-2026,0.08800250213171079,0.15891938969341804,0.6100211559691032,-0.20638953550711625,0.3637842858064235,-0.05477028182433441
hpi235,stress,limit_0.5pct,2010-2014,0.06892024219056236,0.12778370254727442,0.5854631071934052,-0.12877081813388125,0.39438248878480153,-0.053947195193587705
hpi235,stress,limit_0.5pct,2015-2019,0.08939471249879771,0.1342683932796344,0.7047310535034599,-0.1661157751141089,0.5333143285104258,-0.0444479102234534
hpi235,stress,limit_0.5pct,2020-2022,0.2800608956301949,0.1838462085988672,1.435486603795752,-0.17496081255512685,1.0974513284415464,-0.0791161405740961
hpi235,stress,limit_0.5pct,2023-2026,0.09180952874456128,0.15098425676952723,0.657011947599771,-0.17553688006841361,0.38142090503511894,-0.04830304442466227
hpi235,stress,limit_1pct,2010-2014,0.09489962019960463,0.1166259193550668,0.8357625612260073,-0.13167413742097622,0.571819903695383,-0.05378172580437812
hpi235,stress,limit_1pct,2015-2019,0.06952078648976645,0.12171274507557642,0.6129760918801009,-0.14839730580088317,0.3986675132745554,-0.04356295708888602
hpi235,stress,limit_1pct,2020-2022,0.25097575525286975,0.17728684913479414,1.3520972115851593,-0.17970266694002446,0.9577024240455181,-0.07887428021140153
hpi235,stress,limit_1pct,2023-2026,0.061013771186341215,0.14848536093065187,0.47274826178386314,-0.1772254222710321,0.2434164598778299,-0.04429340498079848
hpi235,stress,limit_2pct,2010-2014,0.07628288970419761,0.09859044658720556,0.7949281000820158,-0.12341668467606826,0.44295272897355487,-0.05914658272852358
hpi235,stress,limit_2pct,2015-2019,0.047200616210752555,0.09039568771599212,0.5553378403350177,-0.13867160473860685,0.25889781021384217,-0.029074959239191678
hpi235,stress,limit_2pct,2020-2022,0.18977247614174142,0.15550597647990583,1.195410803964017,-0.14543057216314348,0.6841925951897503,-0.07501240390378405
hpi235,stress,limit_2pct,2023-2026,0.10299902856850873,0.14039218578139312,0.7681227248312318,-0.1251776530479909,0.43421961102338025,-0.052875342296855754
sector,central,moo,2010-2014,0.07445635488218083,0.07545218411550629,0.9896557724287757,-0.10426934566865043,0.4307791386057327,-0.05171771919415635
sector,central,moo,2015-2019,0.048760980756354266,0.059585328824800846,0.8288965217737194,-0.06083304825843705,0.268289817494348,-0.02915531720149478
sector,central,moo,2020-2022,0.11146465745075473,0.09554303148856211,1.1540352104043705,-0.06979114824811716,0.37305196006466157,-0.04415269595539506
sector,central,moo,2023-2026,0.07538987378815509,0.06587744225015907,1.1361663189846412,-0.06595702543017778,0.30652455086118935,-0.03046061188749849
sector,central,limit_0.5pct,2010-2014,0.05967875170628911,0.06331309813919243,0.9473696580099337,-0.09840614221802346,0.335277212077409,-0.0515524280058447
sector,central,limit_0.5pct,2015-2019,0.03678342360534792,0.05036577574836093,0.7424597060920903,-0.057248174286352094,0.19761083497825194,-0.0290557880782647
sector,central,limit_0.5pct,2020-2022,0.07893525092275677,0.08494313689650865,0.937000736248986,-0.06392005584597671,0.25598990197935034,-0.04408831586397055
sector,central,limit_0.5pct,2023-2026,0.05316359774509283,0.05743849147104488,0.930359861198394,-0.061803353804382954,0.20990856812500036,-0.028622629962865465
sector,central,limit_1pct,2010-2014,0.029633013471508374,0.05303396047923086,0.5772857680406205,-0.08439713347986655,0.15680808054074058,-0.05138803089355526
sector,central,limit_1pct,2015-2019,0.02367808277494876,0.04148668287177872,0.5848243640760047,-0.05221548896672368,0.12392249393286692,-0.02475814941675314
sector,central,limit_1pct,2020-2022,0.05802537531367502,0.07580573333329238,0.7820901864149356,-0.07158843828789985,0.1843723266816255,-0.04402412324745575
sector,central,limit_1pct,2023-2026,0.054239414762840665,0.04976212419322244,1.0860542848831107,-0.04522734373021209,0.2144612615335355,-0.019182142114716694
sector,central,limit_2pct,2010-2014,0.0026925129940251757,0.04315338715006199,0.08403990904654474,-0.08934911025291259,0.01350281328841918,-0.05380673660990387
sector,central,limit_2pct,2015-2019,0.015835396085152054,0.02655184467738885,0.6049649257729309,-0.035845325422483865,0.08158972718742907,-0.01634229201549764
sector,central,limit_2pct,2020-2022,0.04178999593730737,0.052557533754547144,0.8053946688447398,-0.06056402504202796,0.1306821812992962,-0.043896297173103505
sector,central,limit_2pct,2023-2026,0.011975327064263741,0.03476896614167615,0.3592753486314038,-0.04160884049240532,0.04476336410152104,-0.013864957214272833
sector,stress,moo,2010-2014,0.05929390033887727,0.07552868301708858,0.8005147628221422,-0.10713950500575231,0.3328600238577599,-0.05175934726465914
sector,stress,moo,2015-2019,0.032784912746459005,0.05981771540959382,0.5692502378826607,-0.06404313498597691,0.17473047493372929,-0.02917530490590281
sector,stress,moo,2020-2022,0.09401074095390416,0.09566902876073874,0.9871356886716964,-0.07236921046048828,0.3093771498595599,-0.044422261397630614
sector,stress,moo,2023-2026,0.05757544639314216,0.06608077882135373,0.8800248865667937,-0.0711916355666371,0.22865816670618555,-0.030861290975207956
sector,stress,limit_0.5pct,2010-2014,0.04312139158762651,0.06135040037814485,0.718951708727214,-0.09975022487234253,0.23440020855636368,-0.0515937026540616
sector,stress,limit_0.5pct,2015-2019,0.02585263535667237,0.0498745539263025,0.5367370665135189,-0.05818396646412294,0.13589167428570348,-0.02563699492706728
sector,stress,limit_0.5pct,2020-2022,0.05227454966121825,0.08258142439146361,0.6583853550921611,-0.06638176345654201,0.16516438153694346,-0.04435740143615097
sector,stress,limit_0.5pct,2023-2026,0.03518968720480253,0.05759148253971209,0.62905919353342,-0.07498547042379078,0.13566936412639197,-0.02729649762207742
sector,stress,limit_1pct,2010-2014,0.022790495286433066,0.05234701799460235,0.4567843772059369,-0.09431644729605271,0.11896604842681491,-0.05142887460727308
sector,stress,limit_1pct,2015-2019,0.014392842956270524,0.04111534361666128,0.3681044424145603,-0.05320827032822917,0.07394397667007069,-0.024903214796693773
sector,stress,limit_1pct,2020-2022,0.049510693631278135,0.0751280529939063,0.6808868538426717,-0.06152675617438663,0.1560073732435785,-0.04429273382435994
sector,stress,limit_1pct,2023-2026,0.045528817107111985,0.04973958815312172,0.9196901457462475,-0.046539693093201606,0.1779555006637934,-0.019840884686590843
sector,stress,limit_2pct,2010-2014,-4.073724764519504e-06,0.043021342417404095,0.02157104570561963,-0.09060158925993533,-2.0319962035553196e-05,-0.05383431771610492
sector,stress,limit_2pct,2015-2019,0.012682124857299026,0.025275325895488213,0.5112191612038057,-0.035990020562818414,0.06493299558059618,-0.016753554653572866
sector,stress,limit_2pct,2020-2022,0.03787978352948396,0.05269358836324283,0.7320816686488566,-0.060955998880293016,0.11799833745721422,-0.04416396262057298
sector,stress,limit_2pct,2023-2026,0.009512409254412546,0.03482643192394566,0.2887697071003093,-0.04814871368523943,0.035440246670145115,-0.01452245978146316
