strategy,policy,central_delta,stress_delta,positive_periods
dv2,limit_0.5pct,-0.012605794023992783,-0.019378701184519898,2
dv2,limit_1pct,-0.0013722857085829987,0.003478539139158507,2
dv2,limit_2pct,-0.03434125784555489,0.018048040900688206,0
hpi235,limit_0.5pct,0.022485680769887384,0.0195052431686015,3
hpi235,limit_1pct,0.005812706500435388,0.009747912530800193,2
hpi235,limit_2pct,-0.0398427532776818,-0.003355340599729112,0
sector,limit_0.5pct,-0.018674082896945596,-0.0192235332102901,0
sector,limit_1pct,-0.035128701949610194,-0.0270182117861832,0
sector,limit_2pct,-0.057786028306354195,-0.0443826631149067,0
