strategy,policy,opportunities,fills,fill_rate,closed_opportunities,terminal_opportunities,closed_delta_pnl,terminal_delta_pnl,baseline_pnl,limit_pnl,delta_pnl,mean_delta_per_opportunity,mean_baseline_return_all_opportunities,mean_limit_return_all_opportunities,net_fill_price_improvement,mean_limit_return_filled,mean_baseline_return_same_filled,missed_baseline_pnl,gross_fill_price_improvement
dv2,limit_0.5pct,8067,5870,0.7276558819883476,8057,10,8608.472482512865,26365.559735910098,1841136.5517849012,1876110.5840033244,34974.032218422944,4.335444678123583,0.004021613835029016,0.003553870751534498,1660864.287232044,0.004883999208284293,-0.0001172507917157977,1625890.255013621,1660449.1749382808
dv2,limit_1pct,8067,4082,0.5060121482583364,8057,10,-196605.67962735437,37728.456899221834,1841136.5517849012,1682259.329056769,-158877.22272813253,-19.694709647716937,0.004021613835029016,0.0028261799942534784,2422119.3672000365,0.0055852018651746235,-0.004417298134825471,2580996.589928169,2421513.98870284
dv2,limit_2pct,8067,1928,0.23899838849634314,8057,10,-828167.0501733299,45248.15972664679,1841136.5517849012,1058217.661338218,-782918.8904466833,-97.0520503838705,0.004021613835029016,0.0016409139636993908,2458908.8166967025,0.006865795096038893,-0.01313920490396121,3241827.707143385,2458294.2431359077
hpi235,limit_0.5pct,4714,3344,0.7093763258379295,4704,10,-183602.54301060975,24014.374865336275,1091052.8404009857,931464.6722557123,-159588.1681452735,-33.854087430053774,0.005580754547954919,0.005040349664945137,693147.1978363234,0.007105325454710338,0.0021040754547102486,852735.3659815969,692973.9543477248
hpi235,limit_1pct,4714,2212,0.46924056003394143,4704,10,-350365.69781415013,26968.959452050633,1091052.8404009857,767656.1020388863,-323396.73836209945,-68.60346592322857,0.005580754547954919,0.0040479389039656125,933004.3279952576,0.008626575042176263,-0.0013759249578238271,1256401.066357357,932771.135211447
hpi235,limit_2pct,4714,1015,0.21531607976240985,4704,10,-574796.2113959522,27664.625348974318,1091052.8404009857,543921.254354008,-547131.5860469778,-116.06524947963041,0.005580754547954919,0.002794024679141544,870339.2720390635,0.012976386539382502,-0.007028613460617601,1417470.8580860412,870121.741603659
sector,limit_0.5pct,943,552,0.5853658536585366,939,4,-75209.05580116014,1796.8815275813413,225533.47365857515,152121.29938499635,-73412.1742735788,-77.84960156264984,0.009458834669548095,0.006448718869828655,70764.44244605147,0.011016561402623953,0.006015311402623863,144176.61671963026,70746.75575711095
sector,limit_1pct,943,304,0.32237539766702017,939,4,-128999.13341014486,3628.28023419529,225533.47365857515,100162.62048262559,-125370.85317594957,-132.948942922534,0.009458834669548095,0.0038552635365150154,78688.49803596159,0.011958926035965987,0.001956426035965895,204059.35121191115,78668.83082825382
sector,limit_2pct,943,86,0.0911983032873807,939,4,-200379.22851891996,4315.965163535184,225533.47365857515,29470.210303190368,-196063.26335538478,-207.9143831976509,0.009458834669548095,0.001198940051300494,40566.29422701381,0.013146517074143788,-0.006858482925856317,236629.55758239861,40556.15518821658
