strategy,policy,mean_daily_delta,annualized_arithmetic_delta,hac_t,p_two_sided,ci95_low_annual,ci95_high_annual,p_holm_9
dv2,limit_0.5pct,-4.745839921136519e-05,-0.011959516601264028,-0.8743114565053147,0.3819486619534789,-0.03876943843927654,0.014850405236748491,1.0
dv2,limit_1pct,-1.7785095529488403e-05,-0.004481844073431078,-0.22957897962715537,0.8184189424466024,-0.04274428858170073,0.03378060043483857,1.0
dv2,limit_2pct,-0.000140952910276686,-0.03552013338972487,-1.2671667589645002,0.20509566888619057,-0.09046016529745086,0.019419898518001126,0.8820770064712125
hpi235,limit_0.5pct,7.178075327770057e-05,0.018088749825980546,1.351874703106042,0.1764154012942425,-0.008136534294522784,0.044314033946483866,0.8820770064712125
hpi235,limit_1pct,1.0402816699472198e-05,0.002621509808266994,0.14632376992632337,0.8836658021188691,-0.03249284524087449,0.037735864857408485,1.0
hpi235,limit_2pct,-0.0001577223993159675,-0.03974604462762381,-1.6786569323367104,0.09321892401856025,-0.08615267751217963,0.006660588256932007,0.5593135441113615
sector,limit_0.5pct,-7.239676210254205e-05,-0.018243984049840595,-2.967999455953339,0.002997448611488737,-0.030291678870163676,-0.006196289229517514,0.02098214028042116
sector,limit_1pct,-0.00013688423085467396,-0.034494826175377837,-3.703328769320376,0.00021278882518573213,-0.05275100086794164,-0.016238651482814035,0.001702310601485857
sector,limit_2pct,-0.00022723286832956405,-0.05726268281905014,-4.408458492333711,1.041089675394897e-05,-0.08272119539859492,-0.03180417023950536,9.369807078554073e-05
